,ingredients,Count
1324,肉皮冻,2
1325,肉糜,1
1326,肉肉,1
1327,肉蔻,9
1328,肉豆蔻,8
1329,肉馅,4
1330,肠粉,1
1331,肠粉专用粉,7
1332,肠粉专用酱油,2
1333,肠粉皮,1
1334,肠粉粉,2
1335,肠粉酱油,4
1336,肠粉预拌粉,2
1337,肠衣,4
1338,肥牛,12
1339,肥肉,1
1340,肥肠,1
1341,肥膘丁,1
1342,胖头鱼,3
1343,胡椒,63
1344,胡椒粉,1068
1345,胡椒粉五香粉,1
1346,胡椒面,2
1347,胡萝卜,606
1348,胡萝卜t,1
1349,胡萝卜丝,2
1350,胡萝卜干,1
1351,胡萝卜红,1
1352,胡麻油,9
1353,脆皮肠,1
1354,脆皮豆腐,2
1355,脆骨,3
1356,腊八豆,3
1357,腊八豆豉,1
1358,腊干子,1
1359,腊牛肉,2
1360,腊瘦肉,1
1361,腊羊肉,1
1362,腊肉,74
1363,腊肠,27
1364,腊鱼,6
1365,腊鸡腿,3
1366,腊鸭,1
1367,腊鸭脖子,1
1368,腌制粗盐t,1
1369,腌制调料,1
1370,腌大头菜,4
1371,腌好的酸菜,1
1372,腌料,2
1373,腌料料酒,2
1374,腌料淀粉,2
1375,腌料盐,1
1376,腌料胡椒粉,1
1377,腌料鸡蛋清,2
1378,腌肉,1
1379,腌芥菜,1
1380,腌豆瓣酱和茄子,1
1381,腌酱瓜,1
1382,腌韭菜花,2
1383,腌黄皮,1
1384,腐乳汁,29
1385,腐乳汤,1
1386,腐乳白,3
1387,腐乳红,27
1388,腐乳香辣味,10
1389,腐竹,16
1390,腰果,19
1391,自养鸡,1
1392,自制剁椒,1
1393,自制麻辣红油,2
1394,自发粉,3
1395,臭豆腐,10
1396,臭鳜鱼,1
1397,色拉油,821
1398,色拉油猪油,1
1399,色拉酱,3
1400,艾蒿,1
1401,节瓜,10
1402,芋头,70
1403,芋艿,1
1404,芋蒙,1
1405,芒果,7
1406,芝士粉,2
1407,芝麻,138
1408,芝麻汤圆,1
1409,芝麻油,557
1410,芝麻盐,1
1411,芝麻酱,77
1412,芡实,1
1413,芡实米,5
1414,芡实米鲜,2
1415,芡粉,2
1416,芥末,18
1417,芥末油,5
1418,芥末酱,1
1419,芥菜,22
1420,芥菜头,2
1421,芥蓝,25
1422,芦笋,55
1423,芦苇叶,1
1424,芦荟,2
1425,芫荽籽,1
1426,花椒,827
1427,花椒和麻椒,1
1428,花椒大料,5
1429,花椒水,1
1430,花椒油,57
1431,花椒粉,195
1432,花椒粉t,1
1433,花椒粒,23
1434,花椒芽,1
1435,花椒面,16
1436,花椒麻椒干辣椒,1
1437,花生,93
1438,花生仁,2
1439,花生仁油炸,2
1440,花生仁炒,29
1441,花生仁生,5
1442,花生油,597
1443,花生炒,32
1444,花生碎,3
1445,花生米,17
1446,花生粉,8
1447,花生部分,1
1448,花生酱,14
1449,花生鲜,1
1450,花胶,4
1451,花莲,1
1452,花菇,4
1453,花菜,2
1454,花蛤蜊,4
1455,花雕酒,21
1456,花鲢,2
1457,花鲢鱼,2
1458,芸苓,1
1459,芸豆,26
1460,芸豆白,2
1461,芸豆馅,1
1462,芹菜,157
1463,芹菜叶,7
1464,芹菜茎,1
1465,芽菜,8
1466,芽菜肉臊,1
1467,苋菜,8
1468,苋菜紫,2
1469,苏打粉,51
1470,苏打饼干,1
1471,苔菜,5
1472,苜蓿,1
1473,苤蓝,3
1474,苦瓜,77
1475,苦笋,4
1476,苦苣,1
1477,苦荞麦粉,10
1478,苦菊,5
1479,苦菜,15
1480,苹果,40
1481,苹果脯,1
1482,苹果醋,5
1483,茄子,177
1484,茄子圆,1
1485,茄子紫皮长,38
1486,茄子绿皮,1
1487,茅根,1
1488,茉莉花,1
1489,茭白,32
1490,茯苓,4
1491,茴香,52
1492,茴香子,1
1493,茴香籽,59
1494,茶叶,20
1495,茶树菇,21
1496,茶油,18
1497,茶籽油,2
1498,茼蒿,16
1499,草果,76
1500,草莓,5
1501,草莓粉,1
1502,草莓酱,1
1503,草菇,25
1504,草鱼,139
1505,草鱼t,1
1506,草鱼或鲤鱼,1
1507,草鸡,2
1508,荔枝,6
1509,荔浦芋,1
1510,荜拨,3
1511,荞菜,1
1512,荞麦,1
1513,荠菜,24
1514,荷兰乳牛乳酪牛奶,127
1515,荷兰豆,31
1516,荷叶,20
1517,荸荠,108
1518,莜面,8
1519,莜麦面,1
1520,莲子,42
1521,莲花白,1
1522,莲花菜,1
1523,莲蓉,2
1524,莲藕,5
1525,莴笋,96
1526,莴笋叶,11
1527,莴笋叶子,1
1528,莴笋干,1
1529,莴苣,2
1530,莼菜,9
1531,菊花,2
1532,菜心,2
1533,菜油,2
1534,菜瓜,2
1535,菜籽油,94
1536,菜花,50
1537,菠菜,120
1538,菠萝,31
1539,菠萝蜜,1
1540,菱角,3
1541,萝卜,2
1542,萝卜丁,1
1543,萝卜干,18
1544,萝卜缨白,5
1545,萝卜苗,1
1546,葛仙米,1
1547,葛粉,1
1548,葡萄,1
1549,葡萄干,8
1550,葡萄柚,1
1551,葡萄汁,1
1552,葡萄酒,4
1553,葫芦,5
1554,葱,2386
1555,葱t,2
1556,葱丝,1
1557,葱丝姜丝,1
1558,葱块,1
1559,葱头,4
1560,葱姜,17
1561,葱姜丝,1
1562,葱姜料酒,1
1563,葱姜末,5
1564,葱姜汁,20
1565,葱姜蒜,25
1566,葱姜蒜末,4
1567,葱姜蒜片,1
1568,葱末,7
1569,葱段,5
1570,葱段姜片蒜瓣,1
1571,葱沫,1
1572,葱油,32
1573,葱白,109
1574,葱白段,1
1575,葱结,1
1576,葱绿,1
1577,葱花,35
1578,葱花儿,3
1579,葱蒜,1
1580,葵花子仁,6
1581,葵花子炒,1
1582,葵花油,1
1583,葵花籽油,4
1584,蒙牛冠菌优酪乳酸牛奶草莓味瓶装,1
1585,蒙牛南洋风情酸牛奶,2
1586,蒙牛桶装原味酸牛奶,1
1587,蒜,1692
1588,蒜t,1
1589,蒜叶,1
1590,蒜头,17
1591,蒜头甜,2
1592,蒜子,1
1593,蒜未,1
1594,蒜末,30
1595,蒜段,1
1596,蒜泥,63
1597,蒜片,5
1598,蒜瓣,26
1599,蒜白,2
1600,蒜米,2
1601,蒜粒,1
1602,蒜苔,86
1603,蒜苗,71
1604,蒜蓉,4
1605,蒜蓉豆豉酱,1
1606,蒜蓉辣椒酱,2
1607,蒜蓉辣酱,2
1608,蒜薹,3
1609,蒜黄,1
1610,蒲菜,5
1611,蒸肉粉,1
1612,蒸鱼豉油,80
1613,蒸鱼鼓油,1
1614,蓝莓果酱,3
1615,蔬菜,1
1616,蔬菜粒,1
1617,蕃茄沙司,1
1618,蕃茄酱,1
1619,蕨根粉,4
1620,蕨菜,8
1621,薄盐生抽,2
1622,薄纱纸,1
1623,薄荷,5
1624,薏米,32
1625,藏红花,1
1626,藕,72
1627,藕带,1
1628,藕粉,4
1629,藜蒿,10
1630,藠头,3
1631,藤椒,1
1632,藤椒油,2
1633,藿香,2
1634,蘑菇,63
1635,蘑菇粉,2
1636,蘑菇精,7
1637,虫草花,10
1638,虱目鱼,1
1639,虾,186
1640,虾丸,2
1641,虾仁,186
1642,虾头,1
1643,虾干,6
1644,虾油,10
1645,虾片,3
1646,虾皮,61
1647,虾米,114
1648,虾籽,9
1649,虾肉,1
1650,虾胶,1
1651,虾酱,14
1652,虾饺粉,1
1653,虾饺粉一份100克另一份150克,1
1654,蚕蛹,4
1655,蚕蛾,1
1656,蚕豆,15
1657,蚕豆淀粉,252
1658,蚝油,457
1659,蚝油秘制酱,1
1660,蚬肉,3
1661,蛇,1
1662,蛇肉,1
1663,蛋清,17
1664,蛋片,1
1665,蛋皮,10
1666,蛋糕,16
1667,蛋糕片,1
1668,蛋黄,1
1669,蛋黄酱,4
1670,蛏子,19
1671,蛏干,4
1672,蛤蚧,1
1673,蛤蜊,23
1674,蛤蜊肉,1
1675,蛾眉豆,1
1676,蜂蜜,60
1677,蜜兰诺杏仁千层饼,1
1678,蜜枣,20
1679,蜜桔,1
1680,蜜豆,13
1681,蝎子,1
1682,蝗虫,1
1683,螺,2
1684,螺丝椒,1
1685,螺旋藻干,2
1686,螺蛳,1
1687,蟹味菇,10
1688,蟹柳,9
1689,蟹粉,4
1690,蟹肉,14
1691,蟹肉棒,1
1692,蟹黄,15
1693,蠔油,1
1694,血肠,1
1695,表面蛋液,1
1696,裙带菜干,3
1697,西兰花,58
1698,西洋参,2
1699,西洋菜,1
1700,西瓜,9
1701,西瓜皮,6
1702,西生菜,1
1703,西米,15
1704,西红柿,165
1705,西芹,38
1706,西葫芦,29
1707,话梅,2
1708,调味鲜,1
1709,调和油,1505
1710,调料包,1
1711,豆丝,2
1712,豆干,3
1713,豆沙,34
1714,豆油,31
1715,豆浆,1
1716,豆渣,9
1717,豆片,1
1718,豆瓣,5
1719,豆瓣菜,5
1720,豆瓣辣酱,16
1721,豆瓣酱,234
1722,豆瓣酱t,1
1723,豆瓣酱剁碎,1
1724,豆瓣酱最好是郫县豆瓣,1
1725,豆瓣酱秘制酱,1
1726,豆瓣酱辣油,2
1727,豆皮,4
1728,豆笋,1
1729,豆粉,2
1730,豆腐,137
1731,豆腐丝,5
1732,豆腐丝干,1
1733,豆腐乳,1
1734,豆腐北,2
1735,豆腐南,3
1736,豆腐干,47
1737,豆腐干香干,11
1738,豆腐泡,1
1739,豆腐皮,102
1740,豆腐皮千张,1
1741,豆腐脑带卤,2
1742,豆花,4
1743,豆芽,27
1744,豆芽菜,1
1745,豆蔻,14
1746,豆角,28
1747,豆豉,164
1748,豆豉辣椒酱,1
1749,豆豉辣酱,12
1750,豆豉酱,3
1751,豆豉鲮鱼,1
1752,豆鼓,1
1753,豇豆,87
1754,豇豆干,1
1755,豉油,2
1756,豌豆,4
1757,豌豆尖,3
1758,豌豆淀粉,83
1759,豌豆煮,40
1760,豌豆苗,44
1761,贡菜剁椒,1
1762,赤小豆,13
1763,走地鸡,1
1764,车前子,1
1765,转化糖浆,2
1766,软化黄油,1
1767,辣根,2
1768,辣椒,36
1769,辣椒干,2
1770,辣椒末,1
1771,辣椒油,209
1772,辣椒碎,2
1773,辣椒粉,128
1774,辣椒红小,1
1775,辣椒红尖干,6
1776,辣椒酱,59
1777,辣椒酱豆瓣酱,1
1778,辣椒面,15
1779,辣椒面花椒面,1
1780,辣白菜,7
1781,辣皮酱,1
1782,辣豆豉,1
1783,辣酱,27
1784,辣酱油,15
1785,迷迭香,8
1786,通心粉,1
1787,郫县豆瓣,22
1788,郫县豆瓣辣酱,2
1789,郫县豆瓣酱,158
1790,郫县辣酱,2
1791,配菜鸡蛋,1
1792,酒,1
1793,酒鬼花生,2
1794,酢辣椒,1
1795,酥油,4
1796,酥皮,1
1797,酥肉,1
1798,酥黄豆,1
1799,酱,2
1800,酱料,1
1801,酱料清水,1
1802,酱料生抽,1
1803,酱料盐,1
1804,酱料老抽,1
1805,酱油,1842
1806,酱油三鲜,1
1807,酱油心生,1
1808,酱油生抽,2
1809,酱油膏,7
1810,酱牛肉,9
1811,酱肉,3
1812,酱花生米,1
1813,酱萝卜,2
1814,酱豆腐,1
1815,酱黄瓜,4
1816,酵母,5
1817,酵母干,89
1818,酵母粉,33
1819,酸奶,3
1820,酸木瓜,1
1821,酸杨桃,1
1822,酸柠檬,1
1823,酸椒汁,1
1824,酸白菜,6
1825,酸笋,11
1826,酸芋荷,1
1827,酸荞头,1
1828,酸菜,113
1829,酸菜料包,1
1830,酸菜鱼料包,1
1831,酸菜鱼调料,3
1832,酸菜鱼调料包,2
1833,酸菜鱼调理,1
1834,酸萝卜,45
1835,酸豆角,11
1836,酸辣椒,4
1837,酸黄瓜,2
1838,醋,707
1839,醋t,1
1840,醋精,1
1841,醪糟,6
1842,里脊,3
1843,里脊或梅花肉,1
1844,里脊肉,21
1845,野山椒,21
1846,野菜,4
1847,野蒜,1
1848,野鸡肉,5
1849,野鸭,10
1850,金华火腿,18
1851,金枪鱼罐头,2
1852,金桔,7
1853,金橘,1
1854,金瓜,1
1855,金糕,14
1856,金针菇,80
1857,金针菜,2
1858,金龙鱼花椒油,1
1859,钦州瓜皮,1
1860,铁观音,1
1861,铁观音茶,1
1862,银耳,35
1863,银鱼,15
1864,银鱼干,1
1865,银鳕鱼,2
1866,锅巴,7
1867,锅盔,1
1868,镇江香醋,1
1869,长寿深山野蜜,55
1870,长尖椒,2
1871,长思水晶蜜枣,29
1872,长思金丝枣有核,1
1873,长茄子,4
1874,长豆角,1
1875,长青椒,2
1876,阿胶,1
1877,陈村粉,2
1878,陈皮,74
1879,陈醋,57
1880,雀舌,1
1881,雄鸡标原味蛋黄金枪鱼沙拉酱,1
1882,雪梨,14
1883,雪梨干,1
1884,雪碧,1
1885,雪耳,1
1886,雪蛤,4
1887,雪里红,3
1888,雪里蕻,19
1889,霸王花,1
1890,霸王花干,1
1891,青口,3
1892,青尖椒,1
1893,青杭椒,1
1894,青柠,1
1895,青梅,11
1896,青椒,87
1897,青椒丝,2
1898,青椒可不放,1
1899,青椒或太空椒,1
1900,青椒红辣椒,1
1901,青瓜,2
1902,青稞面,1
1903,青笋,5
1904,青笋尖,1
1905,青红丝,6
1906,青红椒,6
1907,青红辣椒,2
1908,青花椒,10
1909,青花椒鱼调料,1
1910,青菜,3
1911,青萝卜,13
1912,青葱,2
1913,青蒜,100
1914,青蒜叶,1
1915,青蒜末,1
1916,青蒜苗,2
1917,青蟹,13
1918,青豆,92
1919,青辣椒,14
1920,青鱼,43
1921,青黄鱼,1
1922,面包,17
1923,面包屑,13
1924,面包粉,8
1925,面包糠,22
1926,面团,3
1927,面条,3
1928,面条生,85
1929,面粉,703
1930,面线,1
1931,面肥,2
1932,面酱,10
1933,鞭笋,7
1934,韩国大酱,1
1935,韩国泡菜,1
1936,韩式大酱,1
1937,韩式辣酱,4
1938,韭苔,2
1939,韭菜,102
1940,韭菜花,11
1941,韭黄,31
1942,风干咸鸡腿,1
1943,风轮草,4
1944,食油,15
1945,食用油,86
1946,食用油t,1
1947,食用盐,1
1948,食用色素,2
1949,食用香精,3
1950,食盐,5808
1951,食醋,1
1952,饵块,2
1953,饺子猪肉白菜馅,4
1954,饺子皮,13
1955,饺子粉,1
1956,饼干,1
1957,馄饨,2
1958,馄饨皮,18
1959,馒头,16
1960,馓子,3
1961,馕,4
1962,香其酱,1
1963,香叶,199
1964,香料,2
1965,香料八角,1
1966,香料干陈皮,1
1967,香料桂皮,1
1968,香料生姜片,1
1969,香料粉,1
1970,香料花椒,1
1971,香椿,18
1972,香油,843
1973,香瓜,2
1974,香米,5
1975,香糟,10
1976,香肠,85
1977,香芹,2
1978,香茅,4
1979,香茹,1
1980,香草,4
1981,香草粉,4
1982,香草精,14
1983,香菇,531
1984,香菇丸,9
1985,香菇干,4
1986,香菇片,2
1987,香菇酱,4
1988,香菜,622
1989,香菜末,2
1990,香菜根,1
1991,香菜葱花,1
1992,香葱,46
1993,香葱末,1
1994,香葱段,2
1995,香蒜,1
1996,香蕉,21
1997,香辣大盘鸡料,1
1998,香辣小红油,1
1999,香辣料,1
2000,香辣豆豉酱,2
2001,香辣酥,2
2002,香辣酱,8
2003,香醋,116
2004,马兰头,1
2005,马哈鱼,1
2006,马蹄,1
2007,马铃薯丁脱水,210
2008,马铃薯淀粉,3
2009,马铃薯粉,1
2010,马面鱼,28
2011,马齿苋,2
2012,驴肉,2
2013,骆驼掌,1
2014,骨头汤,1
2015,高乐高,1
2016,高汤,432
2017,高汤水,1
2018,高汤汤底,1
2019,高筋面粉,35
2020,高筋面粉油酥,1
2021,高粉水油皮,1
2022,高粱米,1
2023,高粱面,2
2024,高良姜,8
2025,魔芋,13
2026,魔芋丝,5
2027,魔芋粉皮,1
2028,魔芋豆腐,1
2029,鮰鱼,9
2030,鱼,4
2031,鱼丸,29
2032,鱼唇,3
2033,鱼头,25
2034,鱼干,8
2035,鱼松,1
2036,鱼汤,1
2037,鱼白,1
2038,鱼皮,3
2039,鱼籽,6
2040,鱼翅,33
2041,鱼肉,30
2042,鱼肚,15
2043,鱼胶粉,6
2044,鱼腥草,3
2045,鱼茸,3
2046,鱼豆腐,5
2047,鱼露,41
2048,鱼面,1
2049,鱼饼,2
2050,鱼香汁儿,1
2051,鱼香肉丝的调料包,1
2052,鱼香肉丝调料,1
2053,鱼香肉丝酱,1
2054,鱼骨,3
2055,鱼鳔,10
2056,鱿鱼,54
2057,鱿鱼干,18
2058,鲅鱼,3
2059,鲈鱼,40
2060,鲍鱼,32
2061,鲍鱼汁,17
2062,鲐鱼,1
2063,鲚鱼大,4
2064,鲜味汁,7
2065,鲜味酱油,3
2066,鲜奶,6
2067,鲜姜,1
2068,鲜小红椒,1
2069,鲜栗子,14
2070,鲜白果,1
2071,鲜红辣椒,1
2072,鲜翅根,1
2073,鲜花椒,5
2074,鲜藤椒,1
2075,鲜虾,3
2076,鲜贝,11
2077,鲜贝露,6
2078,鲜辣椒,1
2079,鲜酱油,3
2080,鲜香菇,4
2081,鲝粉,1
2082,鲢鱼,15
2083,鲢鱼头,11
2084,鲤鱼,56
2085,鲥鱼,1
2086,鲨鱼,4
2087,鲫鱼,69
2088,鲮鱼,5
2089,鲳鱼,16
2090,鲶鱼,14
2091,鲻鱼,3
2092,鳊鱼,4
2093,鳎目鱼,6
2094,鳓鱼,1
2095,鳕鱼,4
2096,鳖裙,1
2097,鳗鱼,24
2098,鳗鲡鱼,2
2099,鳘鱼,1
2100,鳙鱼,10
2101,鳙鱼头,1
2102,鳜鱼,56
2103,鳝鱼,48
2104,鸡,25
2105,鸡丁,1
2106,鸡中翅,1
2107,鸡全腿,1
2108,鸡土鸡家养,15
2109,鸡心,13
2110,鸡枞,2
2111,鸡枞油,1
2112,鸡枞菌,1
2113,鸡架,7
2114,鸡柳,2
2115,鸡毛菜,4
2116,鸡汁,18
2117,鸡汤,106
2118,鸡油,103
2119,鸡爪,37
2120,鸡皮,3
2121,鸡粉,199
2122,鸡精,1065
2123,鸡精味精,1
2124,鸡翅,53
2125,鸡翅中,4
2126,鸡翅尖,1
2127,鸡翅根,5
2128,鸡肉,235
2129,鸡肉块,1
2130,鸡肉腌制,1
2131,鸡肝,8
2132,鸡肠,2
2133,鸡胗,25
2134,鸡胸,1
2135,鸡胸肉,21
2136,鸡胸脯,1
2137,鸡胸脯肉,175
2138,鸡脖,2
2139,鸡脯肉,7
2140,鸡腿,155
2141,鸡腿肉,4
2142,鸡腿肉块,1
2143,鸡腿菇,9
2144,鸡蛋,1141
2145,鸡蛋液,2
2146,鸡蛋清,392
2147,鸡蛋煮,9
2148,鸡蛋花,1
2149,鸡蛋豆腐,1
2150,鸡蛋面,1
2151,鸡蛋黄,39
2152,鸡血,2
2153,鸡血藤,1
2154,鸡里脊,2
2155,鸡骨草,2
2156,鸦片鱼,1
2157,鸭,2
2158,鸭头,1
2159,鸭子,1
2160,鸭心,1
2161,鸭掌,7
2162,鸭梨,4
2163,鸭皮,1
2164,鸭翅,4
2165,鸭肉,148
2166,鸭肠,4
2167,鸭胗,22
2168,鸭胰,1
2169,鸭胸脯肉,5
2170,鸭脖子,4
2171,鸭腿,19
2172,鸭舌,6
2173,鸭蛋,23
2174,鸭蛋黄,1
2175,鸭血,8
2176,鸽子,1
2177,鸽子蛋,9
2178,鸽肉,9
2179,鹅,1
2180,鹅肉,12
2181,鹅肝,2
2182,鹅肠,2
2183,鹌鹑,7
2184,鹌鹑蛋,37
2185,鹧鸪,2
2186,鹰嘴豆,2
2187,鹿肉梅花鹿,1
2188,鹿茸,1
2189,麦仁,1
2190,麦冬,1
2191,麦穗鱼,1
2192,麦芽糖,26
2193,麻仁,1
2194,麻婆豆腐料,1
2195,麻婆豆腐调味料,1
2196,麻婆豆腐调料,3
2197,麻椒,26
2198,麻椒末,2
2199,麻椒油,1
2200,麻椒粒,1
2201,麻油,8
2202,麻色豌豆,5
2203,麻花,2
2204,麻豆腐,3
2205,麻辣汁,6
2206,麻辣油,2
2207,麻辣火锅底料,2
2208,麻辣粉,4
2209,麻辣花生,4
2210,麻辣蒸肉米粉,1
2211,麻辣调料,1
2212,麻辣酱,7
2213,麻辣香锅底料,1
2214,麻辣香锅调料,1
2215,麻辣鲜调味料,1
2216,麻食,1
2217,麻鸭,4
2218,黄喉,1
2219,黄姜,2
2220,黄姜粉,1
2221,黄桃,2
2222,黄椒,8
2223,黄油,119
2224,黄油水油皮,1
2225,黄油馅料部分,1
2226,黄瓜,314
2227,黄瓜丁,1
2228,黄秋葵,2
2229,黄糖,2
2230,黄芪,11
2231,黄葱,2
2232,黄蘑干,2
2233,黄螺,2
2234,黄记煌海鲜汁,2
2235,黄记煌照烧汁,3
2236,黄记煌特调香辣汁,2
2237,黄记煌藤椒汁,1
2238,黄记煌辣豉酱,2
2239,黄记煌酱汁,1
2240,黄豆,46
2241,黄豆粉,9
2242,黄豆芽,46
2243,黄豆酱,6
2244,黄豆酱油,4
2245,黄豆酱老干妈,1
2246,黄酒,770
2247,黄酱,46
2248,黄面,1
2249,黄颡鱼,4
2250,黄骨鱼,3
2251,黄鱼,38
2252,黍子面,3
2253,黏玉米面,1
2254,黑乐砂锅,2
2255,黑乐砂锅35升,1
2256,黑加仑,1
2257,黑加仑子,1
2258,黑巧克力,1
2259,黑木耳,319
2260,黑枣,2
2261,黑椒汁,1
2262,黑椒粉,1
2263,黑米,7
2264,黑胡椒,40
2265,黑胡椒粉,17
2266,黑胡椒粒,2
2267,黑芝麻粉,7
2268,黑芥,4
2269,黑豆,23
2270,黑豆粉,2
2271,黑豆芽,1
2272,黑醋,5
2273,黑鱼,7
2274,鼠尾草,1
2275,龙井茶,5
2276,龙利鱼,6
2277,龙利鱼柳,2
2278,龙虾,11
2279,龟苓膏粉,1
